iteration,objective,gradient_norm,parameter_step_norm,accepted_step,backtracks,parameter_0,parameter_1,parameter_2,parameter_3,parameter_4
14820,0.011880368969921253,1.0366885270304732e-05,0.0003317867437067748,32.0,0,-27.862641567445277,-29.17663808750165,-27.427021800945134,-0.6332398679754875,-13.363887134996155
14934,0.01187998306615511,1.0203046684899673e-05,0.0003265430689233064,32.0,0,-27.883202447390516,-29.19820924864362,-27.447505691258144,-0.6341756048698086,-13.373852845538032
15048,0.011879609249995315,1.0042167292925587e-05,0.000321394106878394,32.0,0,-27.903438678406008,-29.21944004828874,-27.467666378528452,-0.6350963566759937,-13.38366073580468
15162,0.0118792471163921,9.88418194869838e-06,0.00031633777239289154,32.0,0,-27.923356114755563,-29.240336616685795,-27.487509683915714,-0.6360024000324185,-13.39331366582839
15276,0.011878896275105192,9.729027317358204e-06,0.0003113720382518419,32.0,0,-27.94296048212957,-29.26090494967684,-27.507041300948952,-0.6368940053067983,-13.402814432400191
15390,0.011878556350103405,9.576641812085851e-06,0.00030649493319550317,32.0,0,-27.962257381208634,-29.281150912415363,-27.526266799057424,-0.6377714367758546,-13.412165770835683
15504,0.011878226978990424,9.426965533956387e-06,0.0003017045399900476,32.0,0,-27.981252291104102,-29.30108024295619,-27.54519162697965,-0.6386349527985535,-13.421370356679425
15618,0.01187790781245784,9.279940214264902e-06,0.00029699899358947565,32.0,0,-27.999950572680522,-29.32069855572246,-27.56382111605572,-0.6394848059832658,-13.430430807350438
15732,0.011877598513761646,9.135509159252535e-06,0.0002923764793611492,32.0,0,-28.01835747176492,-29.340011344854663,-27.582160483407616,-0.6403212433490375,-13.439349683731276
15846,0.011877298758222741,8.993617197058068e-06,0.00028783523138433125,32.0,0,-28.036478122247544,-29.35902398744675,-27.600214835012203,-0.6411445064812753,-13.448129491703027
15960,0.011877008232749434,8.854210626850629e-06,0.0002833735308197755,32.0,0,-28.054317549078533,-29.377741746673657,-27.6179891686712,-0.6419548316820322,-13.456772683628397
16074,0.011876726635381186,8.717237169958489e-06,0.00027898970436525286,32.0,0,-28.071880671164674,-29.39616977481483,-27.63548837688236,-0.6427524501151489,-13.465281659785038
16188,0.011876453674852223,8.582645923026561e-06,0.0002746821227309916,32.0,0,-28.08917230417015,-29.414313116177848,-27.652717249615684,-0.6435375879464638,-13.473658769751099
16302,0.01187618907017442,8.450387312961385e-06,0.00027044919921194303,32.0,0,-28.106197163225428,-29.43217670992604,-27.6696804769986,-0.6443104664792417,-13.481906313744934
16416,0.01187593255023804,8.320413053710323e-06,0.00026628938829428806,32.0,0,-28.122959865547465,-29.449765392814065,-27.686382651913636,-0.6450713022851097,-13.49002654392079
16530,0.011875683853430111,8.192676104690812e-06,0.0002622011843429319,32.0,0,-28.139464932975233,-29.467083901834883,-27.702828272511972,-0.6458203073305586,-13.498021665622181
16644,0.011875442727268934,8.067130630837903e-06,0.0002581831202955745,32.0,0,-28.1557167944234,-29.48413687678166,-27.719021744646277,-0.6465576890992987,-13.505893838594677
16758,0.011875208928054264,7.943731964248924e-06,0.0002542337664588657,32.0,0,-28.171719788257583,-29.500928862727992,-27.7349673842258,-0.6472836507105949,-13.51364517815964
16872,0.01187498222053241,7.822436567213773e-06,0.0002503517293188309,32.0,0,-28.187478164594275,-29.517464312429325,-27.75066941949686,-0.6479983910336777,-13.521277756350388
16986,0.011874762377575647,7.703201996736799e-06,0.0002465356503911349,32.0,0,-28.202996087528078,-29.533747588648875,-27.766131993251435,-0.6487021047984992,-13.528793603012364
17100,0.011874549179874839,7.585986870353997e-06,0.00024278420514960066,32.0,0,-28.21827763728917,-29.549782966410746,-27.78135916496675,-0.649394982702878,-13.536194706868516
17214,0.01187434241564535,7.47075083323092e-06,0.00023909610194793247,32.0,0,-28.23332681233363,-29.56557463518304,-27.796354912878286,-0.6500772115162433,-13.54348301655135
17328,0.011874141880344628,7.3574545265340296e-06,0.0002354700810341494,32.0,0,-28.24814753136913,-29.581126700993526,-27.81112313598882,-0.6507489741800332,-13.550660441602819
17442,0.01187394737640221,7.24605955693909e-06,0.00023190491355120285,32.0,0,-28.262743635318397,-29.5964431884805,-27.825667656015884,-0.651410449904947,-13.557728853443312
17556,0.011873758712960298,7.13652846726524e-06,0.00022839940061318337,32.0,0,-28.277118889222645,-29.611528042881098,-27.839992219279825,-0.6520618142651528,-13.564690086310877
17670,0.011873575705625434,7.02882470820372e-06,0.0002249523723945183,32.0,0,-28.29127698408741,-29.6263851319594,-27.854100498534706,-0.6527032392895166,-13.571545938171745
17784,0.011873398176229798,6.922912611059044e-06,0.00022156268724270924,32.0,0,-28.305221538672694,-29.64101824787662,-27.86799609474418,-0.6533348935500305,-13.578298171603283
17898,0.01187322595260275,6.818757361515073e-06,0.00021822923087406657,32.0,0,-28.31895610122956,-29.655431109005303,-27.88168253880426,-0.6539569422475094,-13.58494851465028
18012,0.011873058868351565,6.7163249742680696e-06,0.00021495091552809747,32.0,0,-28.332484151185035,-29.66962736168975,-27.89516329321492,-0.6545695472946537,-13.591498661655688
18126,0.011872896762650409,6.615582268641965e-06,0.0002117266791934946,32.0,0,-28.345809100777196,-29.68361058195436,-27.908441753702355,-0.655172867396597,-13.597950274066537
18240,0.011872739480038601,6.516496845029483e-06,0.00020855548487374475,32.0,0,-28.358934296642232,-29.697384277161973,-27.921521250793667,-0.65576705812901,-13.604304981216089
